Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado	0.261101786517825	0.0161452792130834	0.00327236113441853	1
mcuentas_saldo_rank	0.0400535734653862	0.0123693104298541	0.00696425574760866	2
cpayroll_trx	0.0349883382155348	0.00937127163017313	0.00226548078536667	3
mprestamos_personales_rank	0.0291653200427243	0.0218951815201508	0.00813894948816916	4
mpayroll_sobre_edad_rank	0.0256509868450367	0.0117921062275065	0.00226548078536667	5
mcaja_ahorro_rank	0.0195905761822709	0.00687505875484973	0.00352408122168149	6
mtarjeta_visa_consumo_rank	0.0194209612521106	0.00616339879290366	0.00285282765564692	7
mpayroll_rank	0.009911547963732	0.0116703836726818	0.00251720087262964	8
ccomisiones_mantenimiento_ratioavg3	0.00831616970186445	0.00633135091100631	0.0043631481792247	9
mpasivos_margen_rank	0.008135950160855	0.00260282765475418	0.00176204061084075	10
mcomisiones_otras_rank_lag2	0.0070434151394786	0.00246665119180789	0.00192985400234939	11
mrentabilidad_annual_rank_lag2	0.00700095686369757	0.00316479789679577	0.00377580130894445	12
cproductos_ratioavg3	0.00566837555122381	0.00347141576202122	0.00218157408961235	13
vm_mpagominimo_rank	0.00433459402656984	0.00204136215236128	0.00125860043631482	14
ccaja_seguridad	0.00418482623581918	0.0152886557297615	0.00344017452592717	15
vm_msaldopesos_rank	0.00404220863768572	0.000548319328815569	0.000587346870280248	16
mcomisiones_mantenimiento_rank	0.00342175580357024	0.00706135357064012	0.00369189461319013	17
cdescubierto_preacordado_delta2	0.00341724066913932	0.00961721749535453	0.00209766739385803	18
mrentabilidad_annual_rank_delta1	0.0033801529612506	0.0027884915459837	0.00335626783017285	19
vm_status01	0.00320948152066994	0.00772687574015338	0.00218157408961235	20
ctarjeta_visa_transacciones_ratioavg3	0.00310839801281926	0.00439691326467842	0.00310454774290988	21
mrentabilidad_annual_rank_delta2	0.00294262805792927	0.00364960032936556	0.00402752139620742	22
ctarjeta_visa_transacciones	0.00290701563282554	0.00228642472315747	0.00109078704480618	23
ctrx_quarter_delta2	0.00282911769748533	0.00380098780990656	0.00377580130894445	24
ctarjeta_visa_transacciones_ratiomax3	0.00265380429475509	0.00203184092717003	0.00209766739385803	25
mprestamos_personales_rank_delta2	0.00259330349681887	0.0125638072649357	0.00360798791743581	26
vmr_mpagominimo	0.00259105785798716	0.00331188361896722	0.00201376069810371	27
mprestamos_personales_rank_lag1	0.00255309045149489	0.00238218760014135	0.000839066957543212	28
ccomisiones_mantenimiento_delta2	0.00252467194584575	0.00175125156791923	0.00151032052357778	29
ccomisiones_mantenimiento_delta1	0.00246953654914165	0.00720221034669247	0.00218157408961235	30
mactivos_margen_rank	0.00245558651381737	0.00519358744336233	0.00293673435140124	31
cpayroll_trx_avg3	0.00240372158898278	0.000294951496527248	0.000503440174525927	32
cproductos_ratiomax3	0.00234861735462871	0.00130537144507707	0.000755160261788891	33
ctarjeta_master	0.00230943853111631	0.000616757436636103	0.000587346870280248	34
mcuentas_saldo_rank_delta2	0.00212333815470729	0.00388580701359832	0.00268501426413828	35
mcuenta_corriente_rank_delta2	0.00207568425970144	0.00277447354937682	0.00268501426413828	36
mautoservicio_rank	0.00197285522689082	0.00528019617853582	0.00134250713206914	37
mactivos_margen_rank_lag2	0.00192648964729589	0.00240565799380558	0.00243329417687531	38
ccajas_consultas_delta2	0.00179879832766552	0.00527633033168106	0.0015942272193321	39
ccaja_ahorro	0.00168985620957661	0.00593558914100826	0.0015942272193321	40
vm_status04	0.00167531482755858	0.000443207296975216	0.000503440174525927	41
cpayroll_trx_min3	0.00164424881646336	0.00566219232175134	0.000922973653297533	42
mrentabilidad_annual_rank	0.0016394356847935	0.000395601171018928	0.00125860043631482	43
mcuenta_corriente_rank	0.00155809966236443	0.000338508233938338	0.00109078704480618	44
cproductos	0.00154461454478108	0.000441337466003921	0.00125860043631482	45
Visa_mpagominimo_rank	0.00153914011327864	0.00190691786411847	0.00209766739385803	46
mcuenta_debitos_automaticos_rank_lag2	0.00148289511360417	0.00411868700469196	0.0015942272193321	47
vm_fechaalta_lag2	0.00147529315483202	0.00104618763547313	0.00142641382782346	48
vm_status06	0.00146800570604851	0.00428148848410681	0.00125860043631482	49
mcuenta_debitos_automaticos_rank	0.00142914365828348	0.00444876379222599	0.00151032052357778	50
Master_fechaalta	0.00140771038975237	0.00059111895675362	0.00142641382782346	51
mprestamos_personales_rank_lag2	0.00140006403440838	4.84894203415011e-05	0.000167813391508642	52
vmr_msaldopesos_lag1	0.00133119028266705	0.00165669318327882	0.00109078704480618	53
ctrx_quarter_delta1	0.00131185527391406	0.000765139421996244	0.00167813391508642	54
cprestamos_personales_ratiomax3	0.00130779371786072	0.000472654266934202	0.000755160261788891	55
ccaja_seguridad_lag2	0.00129496926208459	0.000657331621577643	0.00067125356603457	56
ccallcenter_transacciones_delta2	0.0012936787923772	0.00370957257671483	0.00134250713206914	57
mtransferencias_recibidas_rank	0.00128921450779872	0.00186118156913347	0.00134250713206914	58
