fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221118 174053	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	0.1	50	0.5	FALSE	309367	0.0445790200767078	0.529088585131103	0.910450212161959	9.5407741930394	0.00148465056482322	16693	42934000	1
20221118 174321	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	0.1	50	0.5	FALSE	309367	0.183538598005689	0.492517332473653	0.734320367794135	7.76200818648795	0.0199632765227957	16588	42024000	2
20221118 174515	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	309367	0.119128792475894	0.807675536727766	0.662726714596647	6.89282544473826	0.0166201703300687	19682	38156000	3
20221118 175254	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	793	1	1	1	0.1	50	0.5	FALSE	309367	0.0302507725657051	0.450242456319393	0.315088097289845	5.67873870104086	0.0187022011388971	18723	41354000	4
20221118 175644	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	876	1	1	1	0.1	50	0.5	FALSE	309367	0.225983968983346	0.643230817149743	0.851345333378413	1.94052358616318	0.0217285512314334	16644	41352000	5
20221118 180005	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	744	1	1	1	0.1	50	0.5	FALSE	309367	0.237743839965842	0.786530845370726	0.491879241140123	3.85837590464507	0.0205467169439461	17615	40930000	6
20221118 180747	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1074	1	1	1	0.1	50	0.5	FALSE	309367	0.165321479086051	0.413575955660781	0.373982026165322	2.82320034931763	0.0221799688887903	17181	41238000	7
20221118 181129	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	644	1	1	1	0.1	50	0.5	FALSE	309367	0.107559803207696	0.615034341849969	0.442136233014025	4.74057675682707	0.0206132890321969	17337	41966000	8
20221118 181310	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	0.1	50	0.5	FALSE	309367	0.148939192154066	0.887353118220926	0.0563038244537893	11.0733339315047	0.00901960113611362	18092	38536000	9
20221118 181615	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	0.1	50	0.5	FALSE	309367	0.27188839217386	0.571325819965568	0.589475458613015	9.16328455573239	0.00309917882807977	17020	37480000	10
20221118 182852	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	910	1	1	1	0.1	50	0.5	FALSE	309367	0.0122292456602008	0.689078183536185	0.280497277896211	10.0326521741226	0.0124829908263157	15476	43048000	11
20221118 183543	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	641	1	1	1	0.1	50	0.5	FALSE	309367	0.0848933607692015	0.334313897640095	0.820601482663915	8.26879245614691	0.000815902736313706	18158	40004000	12
20221118 184532	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1654	1	1	1	0.1	50	0.5	FALSE	309367	0.249972425026936	0.33955595009902	0.544282416528586	1.2369297346595	0.0197456984480444	17233	39054000	13
20221118 185032	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	0.1	50	0.5	FALSE	309367	0.203521228944301	0.375318927312037	0.199181322623917	11.5707663328503	5.50881174947556e-07	15626	37308000	14
20221118 185320	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1094	1	1	1	0.1	50	0.5	FALSE	309367	0.294176766984092	0.862210419870098	0.138287527147622	3.67365217229235	0.0219113183260377	18390	38980000	15
20221118 185611	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	249	1	1	1	0.1	50	0.5	FALSE	309367	0.0625165089985967	0.748187060945202	0.965400913165649	6.18640662237885	0.0200581441946233	17731	41818000	16
20221118 190614	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	993	1	1	1	0.1	50	0.5	FALSE	309367	0.0386143166418629	0.631626414783424	0.706799868392725	8.64130853274771	0.00106379114034412	19236	39608000	17
20221118 190931	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	0.1	50	0.5	FALSE	309367	0.177614511622613	0.684774335900589	0.916669057310262	8.88458393688822	0.00367590338932253	15903	40514000	18
20221118 193926	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3841	1	1	1	0.1	50	0.5	FALSE	309367	0.00504671468829477	0.801539979812226	0.259784114801946	9.61561387382605	0.00978084852129095	15348	42424000	19
20221118 203525	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5423	1	1	1	0.1	50	0.5	FALSE	309367	0.00644796865848438	0.577619770166932	0.922287511049548	7.2688293874756	0.0114984344808094	16000	42160000	20
20221118 204924	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	718	1	1	1	0.1	50	0.5	FALSE	309367	0.0108846279339844	0.892420097576508	0.285585700097188	11.8008869394197	0.00287237825380267	17906	42428000	21
20221118 220719	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3190	1	1	1	0.1	50	0.5	FALSE	309367	0.00532519482610593	0.48737076659149	0.275808287700482	11.7931629467206	0.00048078457029938	14815	43250000	22
20221118 230843	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9998	1	1	1	0.1	50	0.5	FALSE	309367	0.00516793240835114	0.493706255819755	0.27632873223248	1.97034142301558	0.0218479423321219	17458	39564000	23
20221118 231844	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	878	1	1	1	0.1	50	0.5	FALSE	309367	0.0197702039960423	0.300790640048471	0.281849150576357	10.7798083560062	0.00275457090417265	16651	42778000	24
20221118 232754	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	0.1	50	0.5	FALSE	309367	0.0411873076681035	0.437045139765089	0.937436780415947	11.9777643660276	0.000312584943710135	17852	41016000	25
20221118 233834	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1364	1	1	1	0.1	50	0.5	FALSE	309367	0.0540219091806962	0.757097291356451	0.901973851899251	7.18909252425208	0.00288375780664518	15975	41090000	26
20221118 235137	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	978	1	1	1	0.1	50	0.5	FALSE	309367	0.0263467732256166	0.380727504979119	0.950312423106406	9.93153618310826	0.000358106664749804	17872	40736000	27
20221118 235745	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	0.1	50	0.5	FALSE	309367	0.0403563533080123	0.593267274719958	0.272915582182265	11.3358464507909	0.00259978115193589	18767	41106000	28
20221119 002104	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2046	1	1	1	0.1	50	0.5	FALSE	309367	0.00811328308776788	0.300971050828611	0.408266918410185	10.9679977099209	0.00100951426655036	17206	42148000	29
20221119 005901	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3096	1	1	1	0.1	50	0.5	FALSE	309367	0.00501389251661551	0.492371908389949	0.284105254563162	10.4489649622729	0.00476147917280879	16484	42552000	30
20221119 013116	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1291	1	1	1	0.1	50	0.5	FALSE	309367	0.00579339259319326	0.710192772601647	0.547972383889813	11.99502632335	0.00229035179512162	17953	42254000	31
20221119 014910	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1344	1	1	1	0.1	50	0.5	FALSE	309367	0.0112231204868414	0.370347509681397	0.244081672662122	11.8171407766467	0.000838834724903963	16681	42558000	32
20221119 015953	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	790	1	1	1	0.1	50	0.5	FALSE	309367	0.0195403889158257	0.585320319272154	0.297954098983648	9.33656505011801	0.0128897371232216	16144	42032000	33
20221119 020714	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	464	1	1	1	0.1	50	0.5	FALSE	309367	0.0546325115150836	0.624844374870864	0.955458272851961	9.56173907770216	0.000571564020708591	18936	39968000	34
20221119 022925	471	813213	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2265	1	1	1	0.1	50	0.5	FALSE	309367	0.00575339790065052	0.59862105500329	0.0519111519321114	11.9938965080958	0.0106192847574862	16833	42494000	35
