fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	baggin_freq	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	bagging_fraction	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221121 043203	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	652	1	1	1	0.1	50	0.5	FALSE	309367	0.254358210640028	0.763873574500904	0.408095090379938	7.70072682602331	0.637402500089956	0.00290428484369379	16924	41432000	1
20221121 043709	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	94	1	1	1	0.1	50	0.5	FALSE	309367	0.192906109868491	0.72624758369755	0.540112732880516	4.99020581814693	0.356116484946688	0.0194276348279533	18382	44596000	2
20221121 045053	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	167	1	1	1	0.1	50	0.5	FALSE	309367	0.214905231809011	0.535826801306102	0.305065809077933	6.90341573846526	0.250249223149149	0.0155861363816995	19861	44198000	3
20221121 045805	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	253	1	1	1	0.1	50	0.5	FALSE	309367	0.107157418220595	0.715244165451732	0.656386870024144	4.01297494751634	0.666912248040899	0.0235577136525783	16782	45956000	4
20221121 051125	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	0.1	50	0.5	FALSE	309367	0.227733938923164	0.422798673743382	0.588191148622427	11.9435023832368	0.772840552942944	0.000542659184901865	16567	43266000	5
20221121 052636	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	329	1	1	1	0.1	50	0.5	FALSE	309367	0.141828254738182	0.336904951657634	0.190139864536468	5.79689227747731	0.750162547151558	0.017147715759236	19180	43800000	6
20221121 054004	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	0.1	50	0.5	FALSE	309367	0.177356776782253	0.389898397370707	0.851340505682747	3.22071293566842	0.879195577654173	0.0226129593585184	17277	45126000	7
20221121 093342	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6607	1	1	1	0.1	50	0.5	FALSE	309367	0.00747640035382938	0.546835357036907	0.731442036474473	2.59693250401178	0.326580112735974	0.0207494004062972	18359	42642000	8
20221121 095524	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	0.1	50	0.5	FALSE	309367	0.204018340814859	0.594145732240286	0.51513620144513	9.67654530302389	0.402672513690777	0.000768566293256022	18475	41210000	9
20221121 103040	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	463	1	1	1	0.1	50	0.5	FALSE	309367	0.083371964373684	0.850438254859764	0.688894901974709	10.023471184331	0.510458664034377	0.000595466705353747	16550	45700000	10
20221121 110311	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	744	1	1	1	0.1	50	0.5	FALSE	309367	0.108654117945	0.496564750266261	0.25666812681593	3.19742919616401	0.492265670766938	0.0172562619216602	19370	40060000	11
20221121 110945	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	278	1	1	1	0.1	50	0.5	FALSE	309367	0.267908051964361	0.661410300617572	0.0887961039517541	6.32849205140956	0.548553164443001	0.0174713289099793	18919	43762000	12
20221121 113930	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	490	1	1	1	0.1	50	0.5	FALSE	309367	0.135711616790388	0.612657433804125	0.881643948546262	8.50225444366224	0.836743174362345	0.00193277547852849	15862	45316000	13
20221121 122155	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	862	1	1	1	0.1	50	0.5	FALSE	309367	0.0426314368439489	0.457465438290965	0.101898270564852	8.73482446636772	0.862721417465946	0.0175971854180337	18135	45810000	14
20221121 124832	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2701	1	1	1	0.1	50	0.5	FALSE	309367	0.0673835399366799	0.649188803590369	0.338248611724121	1.64786333838711	0.925627059550607	0.0144213796644459	20058	38124000	15
20221121 125732	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	202	1	1	1	0.1	50	0.5	FALSE	309367	0.158061511488399	0.794376534610055	0.915917729402427	4.35916474739788	0.291339185056859	0.0243272488880792	16650	46780000	16
20221121 134741	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	822	1	1	1	0.1	50	0.5	FALSE	309367	0.054585089413682	0.303781762551516	0.462821000276599	10.9708305048756	0.205105060336064	0.00014840790053584	16377	46046000	17
20221121 140544	1223	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	0.1	50	0.5	FALSE	309367	0.291790670732036	0.870826279011089	0.987500357680256	10.4112876689294	0.697572322035558	0.00109634654795635	16462	42596000	18
