fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	bagging_fraction	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221122 030330	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	0.1	50	0.5	FALSE	309367	0.254358210640028	0.763873574500904	0.408095090379938	7.70072682602331	0.637402500089956	0.0217914496478227	16324	45592000	1
20221122 030619	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	50	1	1	1	0.1	50	0.5	FALSE	309367	0.192906109868491	0.72624758369755	0.540112732880516	4.99020581814693	0.356116484946688	0.0204990125515683	18139	43402000	2
20221122 031141	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	63	1	1	1	0.1	50	0.5	FALSE	309367	0.214905231809011	0.535826801306102	0.305065809077933	6.90341573846526	0.250249223149149	0.0202881840371632	18031	44578000	3
20221122 032442	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1206	1	1	1	0.1	50	0.5	FALSE	309367	0.107157418220595	0.715244165451732	0.656386870024144	4.01297494751634	0.666912248040899	0.021191892146272	18230	44660000	4
20221122 033215	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	0.1	50	0.5	FALSE	309367	0.227733938923164	0.422798673743382	0.588191148622427	11.9435023832368	0.772840552942944	0.00074173096038088	18123	37834000	5
20221122 033949	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	309367	0.141828254738182	0.336904951657634	0.190139864536468	5.79689227747731	0.750162547151558	0.0182073125001102	19069	43862000	6
20221122 035211	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	0.1	50	0.5	FALSE	309367	0.177356776782253	0.389898397370707	0.851340505682747	3.22071293566842	0.879195577654173	0.0215577671460455	17662	44756000	7
20221122 063654	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9938	1	1	1	0.1	50	0.5	FALSE	309367	0.00747640035382938	0.546835357036907	0.731442036474473	2.59693250401178	0.326580112735974	0.0219001039784421	17585	43790000	8
20221122 070001	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	791	1	1	1	0.1	50	0.5	FALSE	309367	0.204018340814859	0.594145732240286	0.51513620144513	9.67654530302389	0.402672513690777	3.79189791605972e-06	16957	40726000	9
20221122 070848	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	167	1	1	1	0.1	50	0.5	FALSE	309367	0.083371964373684	0.850438254859764	0.688894901974709	10.023471184331	0.510458664034377	0.00992811554114808	16432	45456000	10
20221122 073346	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1433	1	1	1	0.1	50	0.5	FALSE	309367	0.108654117945	0.496564750266261	0.25666812681593	3.19742919616401	0.492265670766938	0.0217833682420266	16810	42060000	11
20221122 073758	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	417	1	1	1	0.1	50	0.5	FALSE	309367	0.267908051964361	0.661410300617572	0.0887961039517541	6.32849205140956	0.548553164443001	0.0195911732506858	18102	44916000	12
20221122 075313	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	595	1	1	1	0.1	50	0.5	FALSE	309367	0.135711616790388	0.612657433804125	0.881643948546262	8.50225444366224	0.836743174362345	0.00143094803362173	15766	44948000	13
20221122 081009	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	309367	0.0426314368439489	0.457465438290965	0.101898270564852	8.73482446636772	0.862721417465946	0.0176854220218632	19027	44746000	14
20221122 082441	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2795	1	1	1	0.1	50	0.5	FALSE	309367	0.0673835399366799	0.649188803590369	0.338248611724121	1.64786333838711	0.925627059550607	0.0150681050531584	19543	38274000	15
20221122 082831	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	0.1	50	0.5	FALSE	309367	0.158061511488399	0.794376534610055	0.915917729402427	4.35916474739788	0.291339185056859	0.0213622470150914	18165	44390000	16
20221122 084332	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	477	1	1	1	0.1	50	0.5	FALSE	309367	0.054585089413682	0.303781762551516	0.462821000276599	10.9708305048756	0.205105060336064	0.00132103613021991	17644	45032000	17
20221122 085127	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	0.1	50	0.5	FALSE	309367	0.291790670732036	0.870826279011089	0.987500357680256	10.4112876689294	0.697572322035558	0.0002980175766565	16851	40858000	18
20221122 090832	471	2033726	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1030	1	1	1	0.1	50	0.5	FALSE	309367	0.284100208242657	0.390096664514858	0.762788180613425	1.07876597477589	0.583520804543514	0.015503984568417	19865	36670000	19
