fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 164148	-0.341115014840034	1707.7374035448	324.53457354501	10	5	19560000	1
20220911 164204	-0.28250060986029	1083.02569204559	416.959886378638	10	5	19773333.3333333	2
20220911 164212	-0.0368923944624838	4055.06536372831	460.645493058153	3	5	17573333.3333333	3
20220911 164227	-0.108298615069361	4297.07331144049	256.202553934811	12	5	17986666.6666667	4
20220911 164238	-0.620827769664174	2502.12177931599	776.738353005756	6	5	17786666.6666667	5
20220911 164257	-0.929050689305586	850.821606524885	222.965245653133	14	5	20746666.6666667	6
20220911 164313	-0.848461588835926	2841.19073205409	877.276627999308	17	5	18093333.3333333	7
20220911 164326	-0.41608856976527	4499.82456744979	557.8985073027	9	5	17053333.3333333	8
20220911 164345	-0.043113735957013	2047.4810182254	75.6593244927062	15	5	19480000	9
20220911 164401	-0.523894684958213	4933.61290114785	858.172582752915	19	5	16933333.3333333	10
20220911 164411	-0.501913093782787	1471.14030427982	185.033113537836	5	5	18920000	11
20220911 164433	-0.739402261392388	3443.06646121756	48.7632857428835	20	5	17680000	12
20220911 164444	0.0341194706124952	2307.94844052053	668.596251967276	13	5	-1260000	13
20220911 164456	-0.939213721979468	3153.42246744268	580.381959617967	7	5	17946666.6666667	14
20220911 164511	-0.808524062286597	2354.98146401334	167.411255638348	10	5	18693333.3333333	15
20220911 164526	-0.086512175144162	4270.64242277201	930.64193085942	20	5	17426666.6666667	16
20220911 164538	0.0266663320925749	3353.6717640916	908.79658946862	14	5	-1300000	17
20220911 164606	-0.900617069592647	6.938060563641	1.58618141181246	20	5	9800000	18
20220911 164626	-0.998426924213409	4734.27217661236	206.399264640545	17	5	17093333.3333333	19
20220911 164648	-0.998970614509029	513.02844811443	1.36340835487908	14	5	20920000	20
20220911 164708	-0.968619689298142	243.677307682571	119.465493357327	12	5	18880000	21
20220911 164728	-0.999850771800204	3947.06133771104	43.3879651039231	14	5	17200000	22
20220911 164751	-0.99856814052808	305.506621355497	151.42461329888	15	5	20653333.3333333	23
20220911 164808	-0.310939063699602	1545.84133020979	397.797281302513	10	5	19386666.6666667	24
20220911 164831	-0.56805506623928	612.13381825153	11.844709102127	15	5	19880000	25
20220911 164842	0.099433097162722	511.273766818313	255.443982383247	8	5	-1180000	26
20220911 164851	-0.0693581606380949	1248.38181357393	1.74336000544773	3	5	16706666.6666667	27
20220911 164908	-0.792337582513511	4590.00958650994	999.827704301524	14	5	17186666.6666667	28
20220911 164917	-0.555274041981174	3432.17766522655	1.75800304461923	3	5	16480000	29
20220911 164940	-0.284164968081473	4947.39288514517	39.6599366604682	20	5	17053333.3333333	30
20220911 165008	-0.604306639068772	39.4262741258213	18.6174053115765	20	5	11800000	31
20220911 165027	-0.460936110615422	675.023667444205	85.285971640647	11	5	20666666.6666667	32
20220911 165044	-0.383809189062203	4548.38004756594	75.8672118929808	11	5	16746666.6666667	33
20220911 165104	-0.886719099388957	2084.5434258555	137.633018819882	15	5	18280000	34
20220911 165128	-0.127613484174739	1671.10130800234	1.10381665713	17	5	19133333.3333333	35
20220911 165146	-0.529629266512744	1074.89645884045	386.363183222026	12	5	19506666.6666667	36
20220911 165216	-0.0647507840742178	2217.68199278501	2.13331125523021	20	5	18440000	37
20220911 165235	-0.932795547887928	1663.13634596724	830.374931863606	14	5	18480000	38
20220911 165257	-0.424367568095717	347.515522631792	172.572022253937	15	5	20493333.3333333	39
20220911 165319	-0.487771050137484	1720.75395007828	1.61683893802952	15	5	19386666.6666667	40
20220911 165341	-0.231488620006398	1031.2988968173	3.7448306435367	14	5	21333333.3333333	41
20220911 165350	-0.209085268531088	4993.31460334464	303.870731224371	3	5	17120000	42
20220911 165411	-0.105550151134255	4865.8386953898	1.50292243610306	15	5	16426666.6666667	43
20220911 165431	-0.193551841519973	1215.09543188305	603.742750180782	13	5	19160000	44
20220911 165455	-0.282565593636652	21.7529269192597	9.10028700690219	15	5	10586666.6666667	45
20220911 165512	-0.232449991536009	2313.13475672905	166.446906149344	10	5	18560000	46
20220911 165532	-0.999152864819188	1245.71162357188	254.525340977849	14	5	20693333.3333333	47
20220911 165548	-0.407683734000805	1177.03183278824	583.751303379519	8	5	19373333.3333333	48
20220911 165600	-0.239897920754741	1062.11831734556	488.582232254377	4	5	18440000	49
20220911 165622	-0.219960978537645	1275.33875622891	193.785953273885	20	5	20453333.3333333	50
20220911 165632	-0.930154794283586	1337.11912461607	211.607232779142	3	5	17933333.3333333	51
20220911 165652	-0.940403933056125	2116.81255663746	148.347949296561	15	5	18826666.6666667	52
20220911 165712	-0.23418056710126	1269.97851972072	412.037276445456	14	5	19706666.6666667	53
20220911 165732	-0.201886041621663	1169.93868880975	1.49931193391549	13	5	20546666.6666667	54
20220911 165756	-0.433825946558806	1413.62216952041	120.739792817302	20	5	20026666.6666667	55
20220911 165818	-0.362694982767824	973.974687200754	123.885264134761	17	5	20920000	56
20220911 165838	-0.412136500521887	996.407260401957	89.0772932080374	13	5	20853333.3333333	57
20220911 165859	-0.999811114347741	726.228903202014	348.819954814921	14	5	19880000	58
20220911 165919	-0.379786052305278	1145.32692781601	426.023693141674	20	5	19866666.6666667	59
20220911 165943	-0.994953328517526	1015.03661146425	66.3483402347372	20	5	22226666.6666667	60
20220911 170001	-0.873056093915496	4704.79434928829	319.232411846193	12	5	17493333.3333333	61
20220911 170014	-0.286311339685212	3325.47661183415	999.607917444118	6	5	17613333.3333333	62
20220911 170024	-0.373393197217572	984.896153535331	46.1166052410105	3	5	16973333.3333333	63
20220911 170042	-0.566414495956793	1772.62605830174	879.87022913408	12	5	17733333.3333333	64
20220911 170051	-0.727235915641331	2595.41851268981	872.739813253042	3	5	17306666.6666667	65
20220911 170101	-0.282036504639899	4211.71336133891	999.791415432089	3	5	17493333.3333333	66
20220911 170113	-0.137637138243882	4999.28002745722	977.235565896228	6	5	16813333.3333333	67
20220911 170135	-0.512120501163533	6.20390666704111	1.08278749443522	13	5	17640000	68
20220911 170200	-0.166819154982907	12.3019718424706	2.66624014075507	16	5	13600000	69
20220911 170222	-0.470385828041273	1849.02539947193	923.822458253878	11	5	17773333.3333333	70
20220911 170241	-0.356965395962456	2265.07745782894	652.450758014249	20	5	18506666.6666667	71
20220911 170308	-0.400527019011119	72.2036975464586	34.8679795420343	20	5	15773333.3333333	72
20220911 170327	-0.670166801684093	4996.73753509796	245.970787773999	14	5	17040000	73
20220911 170343	-0.708335614399998	1238.436642091	221.409178927974	9	5	20360000	74
20220911 170406	-0.962544618984694	1119.94789244831	123.451309709351	18	5	21413333.3333333	75
20220911 170424	-0.342214719242604	4993.30334635094	999.788320169651	20	5	17413333.3333333	76
20220911 170443	-0.766951230366689	1288.64724067818	587.085403991907	14	5	19160000	77
20220911 170458	-0.862167357026377	1252.78775560778	623.019659397638	7	5	18906666.6666667	78
20220911 170507	-0.589927413706594	794.153925474316	182.703943532126	3	5	1.8e+07	79
20220911 170525	-0.717090966463892	3478.06895275059	630.412862124805	14	5	17920000	80
20220911 170535	-0.910838846639609	4993.42264073692	998.200393856761	3	5	17013333.3333333	81
20220911 170559	-0.999890344231843	970.635433286399	107.597620786944	18	5	20613333.3333333	82
20220911 170626	-0.988831098101731	1284.04183363658	1.10938270297816	20	5	19560000	83
20220911 170648	-0.934256869043541	1080.61235465638	292.46137239137	20	5	20493333.3333333	84
20220911 170715	-0.810602212479547	1021.09169758803	1.34078069030416	19	5	20320000	85
20220911 170739	-0.297191348929876	2027.10458110149	53.570792499539	20	5	19226666.6666667	86
20220911 170757	-0.999166023881337	2249.95336176607	591.041250932265	12	5	18613333.3333333	87
20220911 170817	-0.497596617346417	2226.53932177757	274.220090409884	15	5	18773333.3333333	88
20220911 170843	-0.962955870679731	1037.42474916993	38.9831670377345	20	5	21773333.3333333	89
20220911 170902	-0.828728403854798	1102.68184725254	166.741857019213	12	5	20866666.6666667	90
20220911 170920	-0.860771384470064	567.997801091757	267.934839912442	10	5	20213333.3333333	91
20220911 170933	-0.41081853903909	2989.86669575746	539.026278811086	6	5	18200000	92
20220911 170952	-0.320073647322772	3905.36378696284	502.57589497303	20	5	17853333.3333333	93
20220911 171020	-0.477374647716743	908.082233165394	2.57173221424993	20	5	20893333.3333333	94
20220911 171047	-0.18425861437505	961.781878406622	7.06503551647842	20	5	20586666.6666667	95
20220911 171105	-0.501925373032319	3218.33800445574	998.927204221972	20	5	17320000	96
20220911 171127	-0.999796999964258	2780.10202284421	180.92830478002	20	5	18386666.6666667	97
20220911 171145	-0.992035302710768	3775.91152996172	999.060117457187	18	5	18293333.3333333	98
20220911 171207	-0.489459230743313	515.332746867551	256.785612916057	15	5	19333333.3333333	99
20220911 171233	-0.625700670117812	1135.47294811781	1.66897054783861	14	5	20413333.3333333	100
20220911 171258	-0.995044068482032	565.378039506679	133.654267114411	20	5	20373333.3333333	101
20220911 171325	-0.269392407392893	1104.0739652694	8.58038851834995	20	5	20400000	102
20220911 171346	-0.731938426637361	836.733985036419	95.2292723388835	13	5	20360000	103
20220911 171359	-0.999399434457521	438.870701747654	215.928120801658	5	5	19106666.6666667	104
20220911 171409	-0.22088089634328	3804.95798534641	2.80801215211784	3	5	16680000	105
20220911 171430	-0.999729393098885	1106.46708554561	7.05527302418802	13	5	20853333.3333333	106
20220911 171440	-0.48989915836063	3671.86497434711	999.590694579246	3	5	17520000	107
20220911 171500	-0.684084722741261	2693.82362530221	372.243635561493	20	5	18493333.3333333	108
20220911 171515	-0.68239258810445	1872.60798926996	403.704015846566	8	5	19066666.6666667	109
20220911 171534	-0.195394057539763	4606.46872967638	645.16790693865	20	5	16946666.6666667	110
20220911 171544	-0.999482049480753	4211.26474711872	726.783968960743	3	5	17426666.6666667	111
