fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 181619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	309367	0.184683537537581	0.92192628281191	6531	370	6068	24590000	1
20220926 181753	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	309367	0.0402078149985755	0.509600594341755	982	667	9543	26920000	2
20220926 181819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	129	TRUE	309367	0.275358040429535	0.440957123218104	5228	1015	12515	24650000	3
20220926 181837	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	83	TRUE	309367	0.177695338854159	0.854004289414734	2579	141	8136	25570000	4
20220926 181858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	309367	0.0852484129206277	0.59947309515439	3541	518	7866	25630000	5
20220926 181912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	309367	0.293587573396566	0.52879766466096	3668	461	11892	24540000	6
20220926 181933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	309367	0.118952183026937	0.371907975431532	5889	553	10808	25430000	7
20220926 182028	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	151	TRUE	309367	0.107084820829332	0.702979442896321	343	357	14018	23730000	8
20220926 182050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	309367	0.148862115047232	0.910320083014667	6146	586	8643	25840000	9
20220926 182130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	184	TRUE	309367	0.0786483363980078	0.232260218923911	4346	42	11137	26370000	10
20220926 182144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	309367	0.206865169060417	0.729035700103268	1620	766	9201	25280000	11
20220926 182206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	309367	0.127420177132939	0.605897953677923	7790	287	12040	25520000	12
20220926 182219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	309367	0.221246996129456	0.410185136301443	4911	230	6811	24460000	13
20220926 182246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	309367	0.0580589141044184	0.318364784298465	655	957	5628	24750000	14
20220926 182420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	646	TRUE	309367	0.0192907929886715	0.773989324895665	4615	845	10373	26220000	15
20220926 182431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	309367	0.262131350325013	0.991374373175204	2846	718	13684	23280000	16
20220926 182454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	309367	0.229315639825538	0.333527695052326	2323	90	13087	24550000	17
20220926 182506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	309367	0.244148258432804	0.665141507070512	7557	780	5028	23550000	18
20220926 182540	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	309367	0.15448789232166	0.266684903642163	7097	880	14947	22990000	19
20220926 182640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	293	TRUE	309367	0.0309775553983636	0.821426910599694	1441	197	7420	26680000	20
20220926 183301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3147	TRUE	309367	0.00522719395791755	0.805878342594011	244	17	9320	27040000	21
20220926 183359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	309367	0.0307315049210374	0.999304493641834	643	296	9078	26490000	22
20220926 183657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	497	TRUE	309367	0.00511480748190131	0.383003305894425	597	32	9601	26400000	23
20220926 183735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196	TRUE	309367	0.0388709780617214	0.703683130799917	627	31	9460	26440000	24
20220926 184932	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1393	TRUE	309367	0.00524949180266611	0.831303323482504	8	618	8745	26830000	25
20220926 185253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	995	TRUE	309367	0.00523315617643395	0.861731099609589	4031	37	8911	26180000	26
20220926 185836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	756	TRUE	309367	0.0141840450199882	0.536137444060238	4	673	10392	26420000	27
20220926 185940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	456	TRUE	309367	0.0485502442248714	0.202191444253815	4783	896	9936	26610000	28
20220926 190721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	344	TRUE	309367	0.0311319925184539	0.598134017504262	70	1008	9161	27440000	29
20220926 191555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	387	TRUE	309367	0.0283318485463033	0.614290115820395	47	1008	8341	27560000	30
20220926 191827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	309367	0.0336796002753312	0.685951397230754	63	1019	8224	27320000	31
20220926 192043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	309367	0.0282385684874506	0.442704021653407	160	1018	8512	26660000	32
20220926 192216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	448	TRUE	309367	0.0273492471666353	0.630449768009607	1371	962	8384	26680000	33
20220926 192350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	237	TRUE	309367	0.00547498223401014	0.816694773472136	1	16	6843	25280000	34
20220926 192819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1420	TRUE	309367	0.00512493980936715	0.203138733180485	3023	425	9788	26190000	35
20220926 193345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1628	TRUE	309367	0.00525704606011637	0.854423959200878	1497	152	9472	26980000	36
20220926 194044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3702	TRUE	309367	0.00500692083472498	0.80327412029765	6238	35	10944	26040000	37
20220926 194213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	309367	0.102943520172754	0.599624100921908	41	1017	8307	25710000	38
20220926 194303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	275	TRUE	309367	0.0468111848747908	0.335264238707917	6671	277	9992	26180000	39
20220926 194510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	276	TRUE	309367	0.023589579488978	0.617701385268425	3	408	8421	26360000	40
20220926 195656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	925	TRUE	309367	0.0058623874792654	0.609584763927081	6	1024	8217	26690000	41
20220926 195949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	392	TRUE	309367	0.0323909479742203	0.807701966014129	14	652	9534	26060000	42
20220926 200438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1222	TRUE	309367	0.00890217640350842	0.49495985243624	1073	608	8751	27220000	43
20220926 201435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3050	TRUE	309367	0.00510954932423405	0.561622965264611	1368	673	8471	27300000	44
20220926 201727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	593	TRUE	309367	0.00827394615368055	0.454232968765175	2175	652	9188	26670000	45
20220926 202029	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	364	TRUE	309367	0.0297387615557113	0.686529411210736	1	985	8571	25820000	46
20220926 202323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	351	TRUE	309367	0.0343521681690779	0.614846519026717	177	866	8116	27210000	47
20220926 202548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	309367	0.0280832403865908	0.580299957667693	220	948	8319	27610000	48
20220926 202923	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	410	TRUE	309367	0.0285145171370398	0.570690452835394	20	789	7923	27280000	49
20220926 203549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1539	TRUE	309367	0.00632008765491844	0.578614489580505	922	733	9017	27090000	50
20220926 203857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	346	TRUE	309367	0.0276129120002112	0.575718936686288	70	791	9103	26840000	51
20220926 204405	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1298	TRUE	309367	0.00667218041732748	0.505415487425047	1395	715	9213	27420000	52
20220926 204523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	215	TRUE	309367	0.031673130004961	0.611589154485555	524	963	8458	26930000	53
20220926 204958	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1329	TRUE	309367	0.00832390072753837	0.563508033991602	1450	742	8921	26960000	54
20220926 205300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	284	TRUE	309367	0.0332889650062157	0.597425479131907	33	1007	8985	27550000	55
