Feature	Gain	Cover	Frequency
ctrx_quarter	0.16221807366109	0.0413176893910495	0.0351102140963236
mcuentas_saldo	0.0506667956904874	0.0336025570230189	0.0364768425079478
mpayroll	0.0465149995925384	0.0490998329479958	0.0135475615708312
mcaja_ahorro	0.0396080595794206	0.0220358857831053	0.0364293534897833
mpasivos_margen	0.0393442277108189	0.0186453917568914	0.0283905180260398
mrentabilidad_annual	0.0340339257370674	0.0207689297817938	0.0332475892727585
cpayroll_trx	0.0330461538062553	0.0186253706750114	0.00403392826519978
mprestamos_personales	0.0315669392421161	0.0169250156581699	0.0073106705185537
cliente_edad	0.0198000857488353	0.0166203572961091	0.0285408999168942
mtarjeta_visa_consumo	0.0190710523166295	0.0212605260894201	0.0214887807194586
mrentabilidad	0.0179293957916362	0.00921993571803269	0.0160512881396177
mactivos_margen	0.0176931426806465	0.0125103900312261	0.0167873679211682
mcuenta_corriente	0.0175477648306059	0.00916316655058873	0.0139406651100822
numero_de_cliente	0.0167603998216521	0.0105512768167413	0.0218897990950704
Visa_fechaalta	0.0165021355500314	0.0108718451664377	0.017971955096495
Master_Fvencimiento	0.0164736989331663	0.0106158016842881	0.0189718627567375
Visa_mpagominimo	0.0164245235847747	0.0156199522294288	0.0269737623174641
Master_fechaalta	0.0161330366546296	0.0150028577594394	0.0228474942947221
mcomisiones_mantenimiento	0.0156783397102501	0.0239462787389225	0.012014721595631
Visa_Fvencimiento	0.0156050835272927	0.0066613699364871	0.0144920653765483
ctarjeta_visa_transacciones	0.0135815319066887	0.0156457775202999	0.0207157650348912
cliente_antiguedad	0.0130605269198025	0.00960585212413844	0.0173625126967167
Master_mfinanciacion_limite	0.0127164417152869	0.0092182664127121	0.0181487197752186
Visa_mfinanciacion_limite	0.0113880641031925	0.00905398004969825	0.0141332594615273
chomebanking_transacciones	0.0111411155177266	0.00664274787884964	0.0114712361655256
Visa_msaldopesos	0.0111267958736548	0.0149870266956422	0.0196947511443534
Visa_mconsumospesos	0.010957200624692	0.0113321043010447	0.0183070165024338
cprestamos_personales	0.0098886720782327	0.00942819985476206	0.00578046882214044
Visa_status	0.00973520045000784	0.014819467859282	0.00279393723534766
mtransferencias_recibidas	0.00963469271670836	0.0100253164525707	0.0175709367208833
Visa_mpagospesos	0.00923086166880079	0.00759545649218578	0.0153389528671495
mcomisiones	0.00901092728798903	0.0066391676466248	0.0125502921893757
Visa_cconsumos	0.00885075010114393	0.0059301868693171	0.0120780402865171
cdescubierto_preacordado	0.00871954997218792	0.00875822200385549	0.00238236574458823
ccomisiones_otras	0.00851671599074033	0.0254187850433003	0.0187080348780456
Visa_msaldototal	0.0084664247596095	0.0112410209004852	0.0199955149260622
cproductos	0.00738394381850321	0.0100989003658431	0.0115081720685425
mautoservicio	0.00707925298362134	0.0139036603291184	0.020855593810598
mcaja_ahorro_dolares	0.00698594004480765	0.00484964853351869	0.0110807709050615
ctarjeta_debito_transacciones	0.00651234792996251	0.0167994147625422	0.0241402509003126
mcomisiones_otras	0.00648760226416068	0.006045495479129	0.00982231192370098
mtransferencias_emitidas	0.00635099027472329	0.0171475773552878	0.0217921827799544
mttarjeta_visa_debitos_automaticos	0.00621319550835743	0.00324340027343935	0.00679356787631749
Master_status	0.00613637030956104	0.00680930495565141	0.0015090954661179
ccajas_consultas	0.00587647069754712	0.0052000293711317	0.00145896816916644
mcuenta_debitos_automaticos	0.00580793695195807	0.0112122952687798	0.00935797485720316
ctransferencias_recibidas	0.00550410790430455	0.00933536690229761	0.0115055337897556
ccallcenter_transacciones	0.0042439442299914	0.0247862938110829	0.00826572743941852
Master_mlimitecompra	0.00405191269158678	0.00427768968081901	0.00601263735538934
Visa_mlimitecompra	0.00403926172485972	0.0034105084943644	0.0049467727254739
mpagomiscuentas	0.00380061523260538	0.00413696362678724	0.00704420436107484
ccaja_seguridad	0.00377951374292188	0.00767988868546551	0.00126637381772132
Visa_mconsumosdolares	0.00370720929462882	0.0162545263455169	0.00972205732979804
cmobile_app_trx	0.00361497527753158	0.00203420682173965	0.00239555713852283
ccomisiones_mantenimiento	0.00358087021837992	0.00963801557242729	0.00369886685926102
Master_mpagospesos	0.00357689475656386	0.00750811249427392	0.00606276465234081
internet	0.00348485384306838	0.00372763550015506	0.00114501299352303
Master_mconsumospesos	0.00346631084160851	0.00474863792501063	0.00611289194929228
thomebanking	0.00326763170773199	0.00197029835378034	0.0018072209690398
Master_mpagominimo	0.00320251518698872	0.00360821359152228	0.00480430567098025
Visa_mconsumototal	0.00316784601999988	0.00315570618878039	0.00533196142836414
mextraccion_autoservicio	0.00301037869840476	0.00992754436693107	0.0110860474626354
ctransferencias_emitidas	0.00297604403418554	0.00352464603314315	0.00688063107628583
ctarjeta_debito	0.00297368429042783	0.00169191281161873	0.00274644821718311
cextraccion_autoservicio	0.00288184248283572	0.0188249478985273	0.0150012531824238
cpagomiscuentas	0.00283031300905591	0.00358595310084056	0.00483068845884945
ctarjeta_visa_debitos_automaticos	0.00279425237310967	0.00167882512280963	0.00284142625351221
ctarjeta_master	0.00274911618489064	0.000770775056410097	0.000635825187647579
Master_msaldototal	0.00273556210011639	0.00655101060090227	0.00586753202210878
mtarjeta_master_consumo	0.00268868490889487	0.00386030603168094	0.00277546928383922
Visa_fultimo_cierre	0.00223049042050431	0.0017994017886095	0.00293112773226747
matm_other	0.00219211433250768	0.00522038731229985	0.00556940651918688
tmobile_app	0.00218835394009973	0.00605033364270082	0.00151437202369174
ccajas_transacciones	0.00210513528605085	0.000658516698634091	0.000722888387615919
Master_msaldopesos	0.00207469031135223	0.00440578439337576	0.00487026264065324
Master_fultimo_cierre	0.00201075774927384	0.00191586118735082	0.00321078528368093
ccaja_ahorro	0.00182950084302044	0.013098348377367	0.00411571490759429
Master_cconsumos	0.00181466083007543	0.00212949655424804	0.00397852441067448
matm	0.00181188958204001	0.00413342131327808	0.00813645177885947
tcallcenter	0.0017959799589184	0.00582900033560488	0.00373052620470405
ccuenta_debitos_automaticos	0.00175461134010062	0.00440961771098201	0.00370414341683486
mplazo_fijo_dolares	0.00173070737757032	0.00789171762238427	0.00234542984157136
Visa_mpagado	0.00144673729688114	0.00668306252826419	0.00172015776907146
catm_trx	0.00143761306562653	0.00645718779359241	0.00709960821560014
Visa_msaldodolares	0.00118882376306093	0.00716817782191595	0.00356167636234121
catm_trx_other	0.00117400332110896	0.0080548840605396	0.00497051723455618
ctarjeta_master_transacciones	0.00112046080511588	0.00291951271337487	0.00161462661759468
mttarjeta_master_debitos_automaticos	0.000939037615985349	0.00290368782239189	0.00132705422982047
Master_mconsumototal	0.000860785788099091	0.00126797804297368	0.00128748004801667
Visa_mpagosdolares	0.000782855744956084	0.00278816625049076	0.00260661944147638
ccheques_depositados	0.00078107259233995	0.00432981777382964	0.000633186908860659
minversion2	0.000749455701123912	0.00710398981365731	0.000670122811877531
mtarjeta_visa_descuentos	0.000742800334206113	0.0024410411314428	0.00076510084820663
ctarjeta_visa	0.000666524123812363	0.00421078695706674	0.00184415687205667
tcuentas	0.000636774759328865	0.00116675711786817	0.000255913042331183
Master_mpagado	0.000535892198385618	0.00163707485318276	0.00076510084820663
active_quarter	0.000494010133071192	8.73889712723202e-05	0.000350891078660282
mcaja_ahorro_adicional	0.000487724397505146	0.00470188282582906	0.00106586462991544
cseguro_accidentes_personales	0.000421253412251018	0.000335625166229201	0.000488081575580092
ccajas_depositos	0.000413126334963446	0.00228423533738544	0.000440592557415542
mprestamos_prendarios	0.000354072929906157	0.0030862100012416	0.000369359030168718
