fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20221002 211238	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	95	TRUE	309367	0.175351746357563	0.31357694339628	6017	138	13333	0.445409137905679	2.48487274941807	2.39497725015584	0.0443186795875792	24540000	1
20221002 211303	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	36	TRUE	309367	0.1486259611014	0.65285626075541	2342	860	9626	0.630719771934673	1.64619037237976	1.01854920274733	0.0192563786054961	25550000	2
20221002 211329	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	67	TRUE	309367	0.114073177651282	0.720756074279133	5819	90	7601	0.737035526604288	2.94028434779547	1.31129700339322	0.0861955854957665	25600000	3
20221002 211348	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	47	TRUE	309367	0.214219137174239	0.705022849137378	4381	657	9931	0.538146014759938	1.43822379613994	0.968025375021777	0.0630920833002569	25260000	4
20221002 211424	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	46	TRUE	309367	0.1218052129928	0.492420535219005	1459	683	8255	0.407298407031016	3.34308795721477	1.86939799634274	0.0757383516575727	25810000	5
20221002 211442	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	31	TRUE	309367	0.266652792766464	0.443416182153548	7865	517	9137	0.983559910601212	2.51373846640086	2.00801728559115	0.0250488064749839	25650000	6
20221002 211538	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	222	TRUE	309367	0.0590505946728	0.901302614709776	3338	617	12769	0.699304291326553	0.482106109848246	1.19942762415546	0.0395924716903311	24310000	7
20221002 211603	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	39	TRUE	309367	0.185521823863641	0.797160192760122	3882	336	11854	0.360577320276449	0.867686842555284	0.247766199056059	0.0890710910206609	25340000	8
20221002 211651	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	140	TRUE	309367	0.0725981103880784	0.575595785661911	2777	301	7401	0.717570486085283	3.9158629866304	1.15468112229913	0.0851298141952915	25680000	9
20221002 211739	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	196	TRUE	309367	0.064597946533791	0.815372268317474	4576	547	12181	0.770057634347015	4.57141525167066	1.69838769933752	0.0571607100602705	25080000	10
20221002 211813	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	71	TRUE	309367	0.199869380063448	0.6292819737405	1674	183	11604	0.840014663793974	0.632180384159761	0.352981417498086	0.0476996447664634	24800000	11
20221002 211835	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	42	TRUE	309367	0.131234731260791	0.335759025382706	7280	788	13674	0.606354020598034	1.25310817801316	0.749359997241603	0.0930306980289364	23940000	12
20221002 211901	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	100	TRUE	309367	0.157517170174138	0.960067509870148	6382	709	5907	0.505716974453794	0.747635639175617	2.59542442012268	0.0506284049278798	24910000	13
20221002 211920	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	17	TRUE	309367	0.258187282817865	0.465264572673995	1927	268	10713	0.469947282607771	2.13592749641975	1.9223497370646	0.0236616691535649	25540000	14
20221002 211947	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	80	TRUE	309367	0.229766937221834	0.416200915330814	5482	559	5768	0.964881753233365	4.21282694493938	0.58631439365369	0.0589479565775643	24710000	15
20221002 212026	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	173	TRUE	309367	0.0967657058741315	0.685564904530636	6646	219	12289	0.791542573428403	1.24883191478956	2.12877864844631	0.0215550300458239	24950000	16
20221002 212113	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	149	TRUE	309367	0.0850052953382126	0.887051670372279	3114	745	7896	0.319005590672087	4.76568314874183	2.84306314849528	0.0678530631962025	26610000	17
20221002 212342	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	559	TRUE	309367	0.0151210720351406	0.288427613194411	5138	814	11049	0.575604351490943	1.0188918403906	1.45600355544593	0.00866472698528216	25750000	18
20221002 212404	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	14	TRUE	309367	0.180837555138795	0.743731570031701	532	1012	10421	0.231031509530213	3.1090857502487	0.463020982841651	0.0284875455183081	24520000	19
20221002 212427	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	33	TRUE	309367	0.234955579035191	0.58270844675911	939	446	5013	0.817559140594676	2.04096551124369	2.42729746201076	0.0829814830736723	23660000	20
20221002 212519	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	214	TRUE	309367	0.0493176662415499	0.61321623807566	7718	49	6816	0.385805480409828	3.20975082793868	0.27586539995779	0.0446350271600143	25410000	21
20221002 212539	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	46	TRUE	309367	0.201993892819931	0.308437927000018	7023	247	9359	0.663294822288056	4.69921823849695	2.67378792711922	0.0323395014740527	25530000	22
20221002 212811	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	330	TRUE	309367	0.00945788975533408	0.386135564480598	4247	27	13611	0.679198312645571	4.03683931534437	2.26318992507489	0.0805166902544443	23500000	23
20221002 212826	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	20	TRUE	309367	0.293949144538233	0.990227656206116	3578	910	6405	0.525046642166045	2.85616947984737	1.65031956598007	0.00145917737520196	25110000	24
20221002 212852	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	99	TRUE	309367	0.223334276262839	0.238608121613248	6947	980	8634	0.305524832796719	1.89496717865243	2.17806025491639	0.0117815265134494	26500000	25
20221002 212920	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	82	TRUE	309367	0.0918586404480286	0.912312316687571	6126	966	11315	0.444211665365017	3.6405195262503	0.0447987729179052	0.0734735051254069	25850000	26
20221002 212949	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	61	TRUE	309367	0.136284402213221	0.522655210933752	4706	358	13992	0.865621336709915	0.0640767132022625	2.55114893000185	0.0999005099208767	23460000	27
20221002 213011	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	65	TRUE	309367	0.284421841128529	0.866340421507549	5031	483	14975	0.205561752032696	2.29480809887819	1.80303512769751	0.0383828409236028	23170000	28
20221002 213110	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	103	TRUE	309367	0.0401779364910908	0.46889776486593	788	840	14293	0.333594577666372	3.52718809532234	2.94229673293497	0.0641927796959256	23500000	29
20221002 213136	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	55	TRUE	309367	0.110849892343103	0.245061967118333	1325	738	6199	0.871815640106797	4.99055693194451	1.56267889005054	0.00414353059734114	24410000	30
20221002 213240	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	112	TRUE	309367	0.0333041606498429	0.534923338351978	2441	593	10208	0.257547410499925	0.322649721605962	0.128849516545112	0.0551930999551486	26230000	31
20221002 213257	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	37	TRUE	309367	0.163220734878721	0.774421182450735	7471	421	5352	0.906791400278194	0.195449898116446	0.521163473972895	0.0145049399709226	24180000	32
20221002 213316	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	46	TRUE	309367	0.247600231303594	0.947236828676735	3664	405	12859	0.938334662032624	4.39285009915087	0.813734068612878	0.0958125807894653	24850000	33
20221002 213335	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	56	TRUE	309367	0.277721820080187	0.203307790366105	5618	111	8525	0.271982367548885	3.75726087853157	0.867864869806605	0.0700327788246796	25430000	34
20221002 213354	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	30	TRUE	309367	0.274081921077903	0.355837095678887	2979	927	14505	0.916824532186405	1.71726296471509	1.35258425405482	0.00769340652752564	22910000	35
20221002 213453	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	138	TRUE	309367	0.0291050710172729	0.842684365570959	2010	186	7091	0.587253481630857	2.69118833611073	2.77956745418487	0.0351655262722892	25980000	36
20221002 213559	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	167	TRUE	309367	0.033753702008201	0.658190711371052	4454	763	8368	0.201051224560045	2.30602416642873	2.55795831290519	0.0188675368305028	26710000	37
