fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	ganancia	iteracion
20221002 231043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.183482560162568	0.846815291877526	5697	474	12616	0.614357487663316	-25230000	1
20221002 231047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.24220842569693	0.570126703955854	2810	750	10407	0.744457575810763	-20810000	2
20221002 231051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0931476761923598	0.487722880082826	3969	610	9954	0.307872848034215	-19900000	3
20221002 231055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.105364033716566	0.654685667723728	7503	551	13642	0.522320681290391	-27280000	4
20221002 231059	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.276733094097435	0.460475099063478	5405	831	8117	0.357794985439008	-16230000	5
20221002 231105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0374895588641327	0.979575686824198	5031	502	12417	0.766850230811785	-24830000	6
20221002 231109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.132026605319212	0.322011498416153	1074	424	11740	0.493278176523745	-23480000	7
20221002 231114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.090490767051427	0.786206210094194	3307	782	9480	0.635323588790683	-18960000	8
20221002 231118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.219996899119239	0.384135587769561	3381	333	14689	0.294887508475222	-29370000	9
20221002 231122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.267093647361035	0.554356264780896	4518	180	7059	0.464689223274278	-14110000	10
20221002 231127	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0724823414480973	0.362491264225294	4711	138	6180	0.846804309954556	-12360000	11
20221002 231131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.155494177959966	0.409674684423953	6928	656	8666	0.669263277652984	-17330000	12
20221002 231135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.193811791330906	0.702268225280568	2381	365	11578	0.823435538789878	-23150000	13
20221002 231138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.213576639728805	0.230691198655404	2122	238	11004	0.998143311776221	-2.2e+07	14
20221002 231143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.117085729153235	0.952692043920979	6343	68	8892	0.38904426045871	-17780000	15
20221002 231149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.043851086973397	0.694672477082349	1501	712	14518	0.911310117443403	-29030000	16
20221002 231152	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.256331469387854	0.890065276995301	7224	271	6303	0.877772265789099	-12600000	17
20221002 231157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.143434361777957	0.617321183074576	1336	579	13190	0.220648373492683	-26380000	18
20221002 231209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0133804580459643	0.528174876476017	3866	871	5084	0.944188168963107	-10160000	19
20221002 231212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.290426584279194	0.743990801445519	557	1014	5601	0.556145395291969	-11200000	20
20221002 231216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.165916987750146	0.254288879727634	6495	19	10528	0.403101502894424	-21050000	21
20221002 231222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.061543478473274	0.931628341165682	7989	926	7614	0.240731111549151	-15220000	22
20221002 231226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.226443611800108	0.280527090475274	6042	977	13859	0.728483138365361	-27710000	23
20221002 231233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.0290234578168505	0.807275566132739	2020	224	7204	0.598107486963272	-14400000	24
20221002 231237	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	309367	0.1456250926506	0.64601188418054	3565	869	5000	0.821643046164641	-1e+07	25
