fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221017 193342	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	760	1	1	1	0.1	50	0.5	FALSE	309367	0.125724430418413	0.94015541941626	5854	568	0.00113785762949952	16176	14528000	1
20221017 193758	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	560	1	1	1	0.1	50	0.5	FALSE	309367	0.0816003372629348	0.754676418693271	6612	1379	0.00840843711542897	16834	15772000	2
20221017 194335	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	514	1	1	1	0.1	50	0.5	FALSE	309367	0.176688512894398	0.341413930570707	3466	353	0.000559275152085357	12527	17666000	3
20221017 194624	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	186	1	1	1	0.1	50	0.5	FALSE	309367	0.229424386180763	0.67010637873318	134	1048	8.71795876670286e-07	12878	14884000	4
20221017 195023	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	275	1	1	1	0.1	50	0.5	FALSE	309367	0.250007906108731	0.484215896867681	4046	1512	0.00138017622371406	16012	14136000	5
20221017 200718	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2745	1	1	1	0.1	50	0.5	FALSE	309367	0.0265545500000735	0.844979338825215	3835	958	0.000760259178872883	15704	17072000	6
20221017 201208	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	454	1	1	1	0.1	50	0.5	FALSE	309367	0.0525825453529978	0.237486177438404	2778	209	0.0112866761844896	13038	19364000	7
20221017 201534	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	0.1	50	0.5	FALSE	309367	0.217549656129486	0.610461148095783	6457	1549	0.00262671342186042	16468	13544000	8
20221017 201928	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	492	1	1	1	0.1	50	0.5	FALSE	309367	0.148435134737228	0.977879716060124	4710	1789	0.00138051537348386	15903	15234000	9
20221017 202257	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	0.1	50	0.5	FALSE	309367	0.263882127931356	0.544397648645099	2357	109	0.00168550991548848	14950	15140000	10
20221017 203005	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	536	1	1	1	0.1	50	0.5	FALSE	309367	0.0669051411326654	0.255835997546092	1237	1173	0.000637796052220739	12489	19422000	11
