Feature	Gain	Cover	Frequency
ctrx_quarter	0.0397278193426913	0.00246654300293603	0.00208060975736623
ctrx_quarter_lag1	0.033377019163095	0.00167021742142588	0.00194797088533413
ctrx_quarter_normalizado_lag1	0.025880907601944	0.00152073994467366	0.00151451051921617
ctrx_quarter_normalizado	0.0254551140797701	0.0025509706865782	0.00161680716562
mcaja_ahorro	0.0184449269900103	0.00513743940306075	0.00300821494085867
mpasivos_margen	0.0151189009896749	0.00592736062742311	0.00324921890442026
mpayroll_sobre_edad	0.0115545979806091	0.00410113752044702	0.000462935671013985
ctrx_quarter_normalizado_avg6	0.0112908125050302	0.00187636849318592	0.002094480489082
mprestamos_personales	0.0108356990603097	0.0175204680552491	0.00151190975701946
mcomisiones_mantenimiento_tend6	0.0102974514162468	0.00695844182706246	0.00412740960617525
mcaja_ahorro_avg6	0.0088413787876036	0.00419390905178987	0.00382832195355386
cpayroll_trx	0.00881236810122356	0.00312424470392891	0.000267878506260902
mcuentas_saldo_lag1	0.00743902401046233	0.00270819896901972	0.00406065670979308
mcuentas_saldo	0.00697944736221126	0.0144305284327825	0.0039982384170721
cliente_edad	0.00693142211804564	0.00361409149023636	0.0108373760736813
mcomisiones_avg6	0.00675613278468761	0.0032426902588092	0.0049249766798323
mrentabilidad_annual_avg6	0.0064380668146065	0.00353294857727681	0.00782829421209042
mtarjeta_visa_consumo	0.0063088866334403	0.00178682586783677	0.000776760976083391
cpayroll_trx_avg6	0.00591850158685809	0.00328139375344563	0.000877323781022758
mpayroll	0.00591056394635461	0.00362417678269079	0.000479407164926468
numero_de_cliente	0.00584640371008885	0.00405058625719013	0.0115309126594701
mrentabilidad_annual_lag1	0.00555744529694237	0.00294152401295821	0.00630598140628414
azar	0.00521734885032562	0.00508899785335004	0.012030259001238
ccomisiones_mantenimiento_tend6	0.00493753341173884	0.0110225219260141	0.00218117256230559
cliente_edad_lag1	0.00493342992464192	0.00343469215584259	0.00945983903015844
mcuenta_corriente_tend6	0.00468842012273287	0.00536199033165529	0.00604850594881007
vm_msaldototal_lag1	0.00468388731134933	0.000446173671180967	0.000569566921079004
mpasivos_margen_lag1	0.00463700599830922	0.00185340000018402	0.00329169802029982
mcuenta_corriente	0.00459694099134363	0.00266629482934988	0.0055378896375231
mactivos_margen	0.00431546403259676	0.00359036842229253	0.00441175960634863
cliente_edad_avg6	0.00430926764217045	0.00350280537862596	0.00943209756672689
mrentabilidad_annual_tend6	0.00428668407082712	0.00391103217483308	0.00958727637779712
ctrx_quarter_normalizado_tend6	0.00428284540277026	0.00229248206900491	0.00515037607021364
mcomisiones_otras_avg6	0.00427056236939218	0.00312338504495121	0.00412914344763972
mprestamos_personales_lag1	0.00416700469473365	0.00273042077385929	0.00108625167749162
mactivos_margen_delta1	0.00406439950220497	0.00259523231612035	0.00549541052164354
mcaja_ahorro_lag1	0.00403091007041356	0.00211535449226804	0.00303162180062904
ctrx_quarter_normalizado_delta1	0.00402549314306896	0.00189971993315341	0.00338099085572012
mcuenta_corriente_lag1	0.00399884331730968	0.00289167890857953	0.00521192744220239
vm_Fvencimiento	0.00396364664800233	0.00181403211739103	0.00469264192359307
cliente_antiguedad	0.00383485926188877	0.00258956544589201	0.00726219497394036
mcuenta_corriente_avg6	0.00383332939898557	0.00579268984913482	0.00660940366256671
mrentabilidad_avg6	0.00378015972558158	0.00218801663426977	0.00469437576505755
cliente_antiguedad_avg6	0.00374781879867301	0.00222372804537808	0.00563065015587235
Master_fechaalta_avg6	0.00366039084054692	0.00192237930820996	0.00429385838676455
vm_status01	0.00358993213945766	0.00504117921317719	0.000241003963561588
mrentabilidad_annual_delta1	0.00356761219885769	0.00297864942141489	0.00834497896850304
cliente_antiguedad_lag1	0.00343982520242358	0.0026433228311126	0.00774506982179577
Visa_Fvencimiento	0.00343473344158787	0.00181171639824037	0.00538791235084629
ctrx_quarter_tend6	0.00339500248813231	0.00281563027104335	0.00560117485097633
mrentabilidad_lag1	0.00338136008684341	0.00157586517497675	0.00455480152716756
mtransferencias_recibidas_avg6	0.00335555863000849	0.00166654670972245	0.00316599451412561
mcomisiones	0.00327055720838224	0.00152195078442129	0.00333764481910832
mrentabilidad_tend6	0.00323069334628793	0.0023516137103251	0.00595054390606741
cprestamos_personales	0.00319942449568627	0.0019931548302925	0.000849582317591209
Master_Fvencimiento_avg6	0.00316944082696139	0.00232595363470344	0.00557863491193819
chomebanking_transacciones_avg6	0.00315778628265954	0.00201969712984462	0.00454526539911297
mprestamos_personales_avg6	0.00315160407653579	0.00277975608556694	0.00150150670823263
mpasivos_margen_avg6	0.00314916417023709	0.00243251629558371	0.00359512027658239
Visa_mfinanciacion_limite_tend6	0.00314417538893353	0.00197006986123985	0.00382312042916044
ctrx_quarter_avg6	0.00314231810919252	0.0018624611797007	0.00259122606865319
ctarjeta_visa_transacciones	0.00314134534214398	0.00264745988517345	0.000937141311547037
vm_Fvencimiento_lag1	0.00310357808747588	0.002579389747575	0.00476633018583313
Master_fechaalta	0.00309023496578436	0.00158119912086944	0.00433026905751846
mcaja_ahorro_tend6	0.00306875308063469	0.00224862733887014	0.00426091539893958
Visa_Fvencimiento_lag1	0.00305811530557059	0.00135653748525738	0.00459121219792147
mcuentas_saldo_delta1	0.00305673609083506	0.00484189606594434	0.00390287713652614
ctransferencias_recibidas_avg6	0.00305183362205685	0.00331462082897619	0.00355090731923836
vmr_msaldopesos	0.0029849607898331	0.000714888301804155	0.000872989177361579
Master_Fvencimiento	0.00295834479387685	0.00220808403381203	0.00514950914948141
mactivos_margen_avg6	0.00293470726334431	0.0045291464776671	0.00529341799103257
chomebanking_transacciones_tend6	0.00291156566630727	0.00210835482931103	0.00475159253338512
Master_fechaalta_lag1	0.00290689422470374	0.00194805632580263	0.0040441852158806
mrentabilidad_annual	0.00289962012345071	0.0051948807176432	0.00687121372370196
Visa_fechaalta	0.00284955729353171	0.00183077706497031	0.00396529542924713
ccomisiones_otras_tend6	0.00283264957644889	0.00216417562976045	0.00545206448503175
thomebanking_tend6	0.0027795150339904	0.00299000988929138	0.00424791158795604
ccomisiones_otras_avg6	0.00277578801172783	0.00263414247359291	0.00368354619127046
ctrx_quarter_delta1	0.00274736138528919	0.00167766049665885	0.00387080106943342
mcuentas_saldo_avg6	0.00269685053115674	0.00240092521564245	0.00385953109991435
mactivos_margen_lag1	0.0026691962908632	0.00210654963308876	0.00426958460626194
Visa_mfinanciacion_limite_delta1	0.0026462349429223	0.00082502922380462	0.00346594908747924
mpasivos_margen_tend6	0.00263371485975737	0.00225715681799464	0.0048235469541607
mrentabilidad	0.00262674921208849	0.00186828395987785	0.00509055853968937
Master_Fvencimiento_lag1	0.00260016259037933	0.00226649410782347	0.00494058125301255
vm_msaldopesos	0.00256751277045115	0.000821151265059167	0.000723878811416999
mcomisiones_tend6	0.00253789275518434	0.00355000673224271	0.00484868765539554
Visa_mlimitecompra_tend6	0.00253547453627362	0.00144380039314428	0.00328042805078075
vm_fechaalta	0.00252588002898753	0.00121526729807737	0.00339226082523918
vmr_mpagominimo_avg6	0.00251621920150376	0.00108126835657083	0.00147809984846226
mcuentas_saldo_tend6	0.00248760797328064	0.00377754455953804	0.00522233049098923
vm_status06_delta1	0.00245430930889683	0.00676730747578638	0.000255741616009599
cmobile_app_trx_avg6	0.00239381726072555	0.0025925332848754	0.00383439039867951
Visa_msaldototal	0.00238080698305427	0.0008671402453878	0.00107238094577584
Visa_Fvencimiento_avg6	0.00237966157866717	0.00232686375446551	0.00537837622279169
chomebanking_transacciones_lag1	0.00237375016051334	0.00175561569014046	0.00279928704438981
mcuenta_corriente_delta1	0.00236125816119251	0.00217584660307128	0.00482007927123176
mactivos_margen_tend6	0.00233955657606639	0.00297840127996007	0.00636493201607618
mcomisiones_otras	0.00232005283232845	0.00140093676831406	0.00313478536776511
thomebanking_avg6	0.00229836527608241	0.000941337607461571	0.00322754588611436
mcomisiones_delta1	0.00224094459621394	0.00183703683115855	0.00397829924023067
ctarjeta_debito_avg6	0.00223423953958709	0.001450554543573	0.00324748506295578
vmr_mpagominimo_tend6	0.002202997753509	0.00151514055022644	0.00178152210474483
cliente_edad_tend6	0.00219675902009657	0.000811393931190272	0.00378584283767429
cproductos_avg6	0.00212165721540346	0.00256938310383949	0.00341306692281285
vm_mpagominimo	0.00212085043980971	0.000907994494034681	0.000884259146880646
vm_msaldototal	0.00209360665916803	0.000999228906636317	0.000759422561438672
Master_mfinanciacion_limite_delta1	0.00208238386451377	0.000901985498227804	0.0034772190569983
vm_Fvencimiento_avg6	0.00208060706126187	0.00254857033059817	0.0051685814055906
ccallcenter_transacciones_avg6	0.00207638278421248	0.00427190229168054	0.00201819146464524
mprestamos_personales_tend6	0.00205600760854762	0.00565680195088549	0.00189595564139997
mcaja_ahorro_dolares_tend6	0.00205473873911715	0.00211074883205192	0.00285737073344962
cpayroll_trx_lag1	0.00204767024166532	0.000993133302305184	0.000201125609878735
mcaja_ahorro_delta1	0.0020445144816411	0.00222977202051305	0.00297180427010476
Master_mfinanciacion_limite	0.00204146570419808	0.000947019228888818	0.00350669436189433
cmobile_app_trx_tend6	0.00203589916428867	0.00248542672830487	0.00328302881297746
tcallcenter_tend6	0.00202664284057974	0.00361644576697625	0.00176851829376129
cproductos	0.00201075140561273	0.00167277631628124	0.00194190244020848
mpayroll_lag1	0.00200447635963991	0.000751736942717049	0.000251407012348419
chomebanking_transacciones	0.00200162768229693	0.00337600721295653	0.00331337103860571
Visa_fechaalta_lag1	0.00198887251501562	0.00133633652164189	0.00348328750212396
chomebanking_transacciones_delta1	0.00198193501354139	0.0019204774259117	0.00349455747164302
ccomisiones_mantenimiento_avg6	0.00196651623819518	0.00445628548658312	0.00209968201347542
Visa_cconsumos_avg6	0.00195071034549711	0.00130575589882553	0.00210921814153001
vm_mlimitecompra_tend6	0.00195007458100951	0.000936867336962119	0.00263110442233604
mcaja_ahorro_dolares_lag1	0.00193523840095945	0.00202181860053448	0.00259209298938542
ccallcenter_transacciones_tend6	0.00192445854250985	0.0024587630599776	0.00241003963561588
Visa_cconsumos_tend6	0.00192408408637154	0.00208364781258488	0.00236409283680737
ctarjeta_debito_transacciones_avg6	0.00192177921561985	0.00148816915144283	0.0019063586901868
ccajas_consultas	0.00190364072032542	0.00207528402885796	0.000432593445385728
Master_mfinanciacion_limite_tend6	0.0018813396066068	0.00255952762337987	0.00389334100847155
Visa_mconsumospesos_avg6	0.00187307791461053	0.00106098407058925	0.00194537012313742
mpasivos_margen_delta1	0.00186995379751763	0.00239859591370467	0.00382745503282162
vmr_Visa_mlimitecompra_avg6	0.00186682692416041	0.00094073127476604	0.00183613811087569
ccajas_consultas_tend6	0.00186475627614399	0.00680266814427917	0.00165581859857062
Master_mlimitecompra_tend6	0.00184899772945252	0.00104070840164465	0.00275767484924249
mcomisiones_mantenimiento	0.00183522416085991	0.00309475442839389	0.00230080762335415
vmr_mpagospesos_tend6	0.00183163932480815	0.00167092745066816	0.00186214573284277
mcomisiones_lag1	0.00180921224515614	0.00129049877761488	0.00344861067283452
ctransferencias_recibidas_tend6	0.00179963416252249	0.00242101211305652	0.00397136387437278
mttarjeta_visa_debitos_automaticos_avg6	0.00178854924357775	0.00205172913918678	0.00144689070210176
mcaja_ahorro_dolares_avg6	0.00177751522319588	0.0027484384870113	0.00310357622140462
cdescubierto_preacordado_avg6	0.00177195794378759	0.00476546170646455	0.000848715396858973
Visa_mlimitecompra	0.00174472465688019	0.000734897499833903	0.0024516518307632
mv_status07_avg6	0.0017435936699091	0.00119805871009295	0.00100822881159038
mcomisiones_mantenimiento_delta1	0.00174212984981732	0.00230454796550223	0.00260856448329791
mcaja_ahorro_dolares	0.00173645379904402	0.001773822174823	0.00246205487955003
mtransferencias_emitidas_tend6	0.00172078410507352	0.00173119267050608	0.00213956036715827
Visa_msaldopesos	0.00171240411484884	0.00119145857094387	0.00113740000069354
ctarjeta_visa_transacciones_tend6	0.00170545490640266	0.00162017690017459	0.00191502789750916
Master_mlimitecompra_delta1	0.00169715535324506	0.000949655019845401	0.00267531737968007
Visa_mconsumospesos_tend6	0.00169100727286911	0.00153223010625931	0.00238316509291656
ctransferencias_emitidas_avg6	0.00168886525256634	0.00121569128550725	0.00161247256195882
mpayroll_sobre_edad_lag1	0.00166060755145416	0.000964493849633669	0.00024273780502606
Visa_mpagospesos_delta1	0.00165751453950773	0.00126317240072301	0.00218897484889572
ctransferencias_emitidas_tend6	0.00165716538934994	0.00165157066457408	0.00212568963544249
mcomisiones_otras_tend6	0.00164268124458431	0.00321505863433605	0.00401731067318129
mtransferencias_emitidas_avg6	0.00163882214123361	0.00139280308868489	0.0019063586901868
cprestamos_personales_tend6	0.00161755012669338	0.00158543037813121	0.00115300457387378
Visa_msaldototal_tend6	0.00160346193270801	0.00107703359407368	0.00184914192185923
mautoservicio_tend6	0.00160026797062837	0.00158744041154618	0.00207454131224057
ccuenta_debitos_automaticos_tend6	0.00159849517597211	0.00405104244897009	0.00146422911674648
ccomisiones_mantenimiento	0.00159774024325042	0.00305650289004467	0.000524487043002736
Visa_fultimo_cierre_avg6	0.00158971874627575	0.00111357917817741	0.00186214573284277
Visa_mpagado_tend6	0.00158327012365601	0.00143856656553722	0.00155785655582796
