fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 111331	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	686	1	1	1	0.1	50	0.5	FALSE	309367	0.212850659201067	0.349405636853771	0.180300737644575	1.72273550079262	0.0156172659000314	21090	5340000	1
20221029 111416	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	0.1	50	0.5	FALSE	309367	0.0900858584638627	0.747664216652629	0.780402879117901	7.54552978370339	0.0137688775079938	16995	13050000	2
20221029 111613	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	0.1	50	0.5	FALSE	309367	0.201821998571104	0.47588105139439	0.509387300528033	11.6053976514813	5.96952671301349e-06	14579	16762000	3
20221029 111642	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	0.1	50	0.5	FALSE	309367	0.249372011414525	0.505035976471845	0.341441188410681	6.88932746276259	0.0238297034069348	15383	14434000	4
20221029 111712	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	190	1	1	1	0.1	50	0.5	FALSE	309367	0.159837207912788	0.35139352264232	0.232397922960808	4.17645010763954	0.0192477050266569	16715	13370000	5
20221029 111742	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	0.1	50	0.5	FALSE	309367	0.178579012250557	0.215537766672787	0.452100050926674	8.05334654616308	0.00547284224290827	17011	13818000	6
20221029 111810	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	0.1	50	0.5	FALSE	309367	0.103436076260987	0.705953861912713	0.881014725317073	6.20986183542118	0.0161269308218749	17464	12912000	7
20221029 112436	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	503	1	1	1	0.1	50	0.5	FALSE	309367	0.0516216891945805	0.264592322261888	0.655382231758995	10.9916736162268	2.68292068058975e-05	14887	17666000	8
20221029 112547	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	0.1	50	0.5	FALSE	309367	0.0798572949403024	0.550806281212135	0.576025711971306	10.1470262720541	0.0597407295205336	13011	18218000	9
20221029 112608	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	0.1	50	0.5	FALSE	309367	0.294937418056943	0.620452214518446	0.149623071108363	3.62013971763372	0.020639628850133	16223	13394000	10
20221029 112644	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	0.1	50	0.5	FALSE	309367	0.27583461569986	0.656035174767021	0.928646383935848	9.84375863624155	3.78471394273441e-05	16870	12260000	11
20221029 112731	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	339	1	1	1	0.1	50	0.5	FALSE	309367	0.0298900709803274	0.307432341942331	0.381435497200437	4.67493002621632	0.0281541357110011	17884	13912000	12
20221029 112822	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1129	1	1	1	0.1	50	0.5	FALSE	309367	0.126346709665377	0.778437937502167	0.587737291162921	1.554410390454	0.0219951149626052	17175	10450000	13
20221029 112846	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	0.1	50	0.5	FALSE	309367	0.241416660250979	0.403787245022249	0.760920300488942	5.74499671056401	0.0251651728460603	17677	12646000	14
20221029 113025	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	929	1	1	1	0.1	50	0.5	FALSE	309367	0.0230849374837999	0.456967807482579	0.959415645062836	2.61340105124691	0.019667328418299	17812	11736000	15
20221029 113050	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	0.1	50	0.5	FALSE	309367	0.142149867357512	0.581792624288937	0.071352239632688	8.58411186728335	0.0300998210649052	15556	14968000	16
20221029 113614	1223	53357	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	957	1	1	1	0.1	50	0.5	FALSE	309367	0.0102331857729475	0.530684841791256	0.432073796775628	10.5599553787983	0.000985247454816661	15549	16582000	17
